ROOT	WORD	SEGMENTATION	ANALYSIS	FREQ
эс	эсээ	эс-ээ	N-VOC;SG	903
хүн	хүний	хүн-ий	N-GEN;SG	259039
хүн	хүнд	хүн-д	N-DAT;SG	132980
хүн	хүнийг	хүн-ийг	N-ACC;SG	67763
хүн	хүнээс	хүн-ээс	N-ABL;SG	13068
хүн	хүнээр	хүн-ээр	N-INS;SG	4900
хүн	хүнтэй	хүн-тэй	N-COM;SG	25278
хүн	хүнээ	хүн-ээ	N-VOC;SG	9765
ургамал	ургамалд	ургамал-д	N-DAT;SG	410
ургамал	ургамалтай	ургамал-тай	N-COM;SG	255
хуулбар	хуулбарын	хуулбар-ын	N-GEN;SG	1292
хуулбар	хуулбарт	хуулбар-т	N-DAT;SG	33
хуулбар	хуулбарыг	хуулбар-ыг	N-ACC;SG	2101
хуулбар	хуулбараас	хуулбар-аас	N-ABL;SG	21
хуулбар	хуулбараар	хуулбар-аар	N-INS;SG	44
хуулбар	хуулбартай	хуулбар-тай	N-COM;SG	53
хуулбар	хуулбараа	хуулбар-аа	N-VOC;SG	85
сүйтгэгч	сүйтгэгчийн	сүйтгэгч-ийн	N-GEN;SG	5
сүйтгэгч	сүйтгэгчийг	сүйтгэгч-ийг	N-ACC;SG	8
сүйтгэгч	сүйтгэгчээс	сүйтгэгч-ээс	N-ABL;SG	6
сүйтгэгч	сүйтгэгчээр	сүйтгэгч-ээр	N-INS;SG	1
сүйтгэгч	сүйтгэгчтэй	сүйтгэгч-тэй	N-COM;SG	3
сүйтгэгч	сүйтгэгчээ	сүйтгэгч-ээ	N-VOC;SG	1
мөрдөгч	мөрдөгчийн	мөрдөгч-ийн	N-GEN;SG	284
мөрдөгч	мөрдөгчийг	мөрдөгч-ийг	N-ACC;SG	60
мөрдөгч	мөрдөгчөөс	мөрдөгч-өөс	N-ABL;SG	24
мөрдөгч	мөрдөгчөөр	мөрдөгч-өөр	N-INS;SG	29
мөрдөгч	мөрдөгчтэй	мөрдөгч-тэй	N-COM;SG	43
мөрдөгч	мөрдөгчөө	мөрдөгч-өө	N-VOC;SG	4
төр	төрийн	төр-ийн	N-GEN;SG	304380
төр	төрд	төр-д	N-DAT;SG	20402
төр	төрийг	төр-ийг	N-ACC;SG	7227
төр	төрөөс	төр-өөс	N-ABL;SG	16744
төр	төрөөр	төр-өөр	N-INS;SG	944
төр	төртэй	төр-тэй	N-COM;SG	3975
төр	төрөө	төр-өө	N-VOC;SG	3061
мэдрэмж	мэдрэмжийн	мэдрэмж-ийн	N-GEN;SG	620
мэдрэмж	мэдрэмжийг	мэдрэмж-ийг	N-ACC;SG	4189
мэдрэмж	мэдрэмжээс	мэдрэмж-ээс	N-ABL;SG	237
мэдрэмж	мэдрэмжээр	мэдрэмж-ээр	N-INS;SG	404
мэдрэмж	мэдрэмжтэй	мэдрэмж-тэй	N-COM;SG	3626
мэдрэмж	мэдрэмжээ	мэдрэмж-ээ	N-VOC;SG	1052
дүрс	дүрсийг	дүрс-ийг	N-ACC;SG	1653
дүрс	дүрсээс	дүрс-ээс	N-ABL;SG	36
дүрс	дүрсээр	дүрс-ээр	N-INS;SG	526
дүрс	дүрстэй	дүрс-тэй	N-COM;SG	897
дүрс	дүрсээ	дүрс-ээ	N-VOC;SG	292
хэлбэр	хэлбэрийн	хэлбэр-ийн	N-GEN;SG	7055
хэлбэр	хэлбэрт	хэлбэр-т	N-DAT;SG	4746
хэлбэр	хэлбэрийг	хэлбэр-ийг	N-ACC;SG	4779
хэлбэр	хэлбэрээс	хэлбэр-ээс	N-ABL;SG	652
хэлбэр	хэлбэрээр	хэлбэр-ээр	N-INS;SG	33653
хэлбэр	хэлбэртэй	хэлбэр-тэй	N-COM;SG	6303
хэлбэр	хэлбэрээ	хэлбэр-ээ	N-VOC;SG	856
зай	зайн	зай-н	N-GEN;SG	6202
зай	зайд	зай-д	N-DAT;SG	9872
зай	зайг	зай-г	N-ACC;SG	5444
зай	зайтай	зай-тай	N-COM;SG	6041
гол	голын	гол-ын	N-GEN;SG	25703
гол	голд	гол-д	N-DAT;SG	3522
гол	голыг	гол-ыг	N-ACC;SG	1737
гол	голоос	гол-оос	N-ABL;SG	646
гол	голоор	гол-оор	N-INS;SG	589
гол	голтой	гол-той	N-COM;SG	448
гол	голоо	гол-оо	N-VOC;SG	467
цөм	цөмийн	цөм-ийн	N-GEN;SG	22025
цөм	цөмд	цөм-д	N-DAT;SG	343
цөм	цөмийг	цөм-ийг	N-ACC;SG	481
цөм	цөмөөс	цөм-өөс	N-ABL;SG	37
цөм	цөмөөр	цөм-өөр	N-INS;SG	28
цөм	цөмтэй	цөм-тэй	N-COM;SG	103
цөм	цөмөө	цөм-өө	N-VOC;SG	31
хэрэг	хэрэгт	хэрэг-т	N-DAT;SG	34706
хэрэг	хэрэгтэй	хэрэг-тэй	N-COM;SG	271185
явц	явцын	явц-ын	N-GEN;SG	6509
явц	явцыг	явц-ыг	N-ACC;SG	8705
явц	явцаас	явц-аас	N-ABL;SG	535
явц	явцаар	явц-аар	N-INS;SG	168
явц	явцтай	явц-тай	N-COM;SG	3644
явц	явцаа	явц-аа	N-VOC;SG	207
зам	замын	зам-ын	N-GEN;SG	96386
зам	замд	зам-д	N-DAT;SG	17021
зам	замыг	зам-ыг	N-ACC;SG	28333
зам	замаас	зам-аас	N-ABL;SG	3578
зам	замаар	зам-аар	N-INS;SG	46203
зам	замтай	зам-тай	N-COM;SG	2898
зам	замаа	зам-аа	N-VOC;SG	4322
харилцаа	харилцааг	харилцаа-г	N-ACC;SG	20536
харилцаа	харилцаатай	харилцаа-тай	N-COM;SG	6588
үйс	үйсийг	үйс-ийг	N-ACC;SG	2
үйс	үйсээс	үйс-ээс	N-ABL;SG	1
үйс	үйсээр	үйс-ээр	N-INS;SG	5
үйс	үйстэй	үйс-тэй	N-COM;SG	1
үйс	үйсээ	үйс-ээ	N-VOC;SG	1
дарангуйлагч	дарангуйлагчийн	дарангуйлагч-ийн	N-GEN;SG	106
дарангуйлагч	дарангуйлагчийг	дарангуйлагч-ийг	N-ACC;SG	58
дарангуйлагч	дарангуйлагчаас	дарангуйлагч-аас	N-ABL;SG	19
дарангуйлагч	дарангуйлагчаар	дарангуйлагч-аар	N-INS;SG	7
дарангуйлагч	дарангуйлагчтай	дарангуйлагч-тай	N-COM;SG	34
дарангуйлагч	дарангуйлагчаа	дарангуйлагч-аа	N-VOC;SG	3
өнцөг	өнцөгт	өнцөг-т	N-DAT;SG	1043
өнцөг	өнцөгтэй	өнцөг-тэй	N-COM;SG	135
ирмэг	ирмэгийн	ирмэг-ийн	N-GEN;SG	76
ирмэг	ирмэгт	ирмэг-т	N-DAT;SG	930
ирмэг	ирмэгийг	ирмэг-ийг	N-ACC;SG	56
ирмэг	ирмэгээс	ирмэг-ээс	N-ABL;SG	73
ирмэг	ирмэгээр	ирмэг-ээр	N-INS;SG	43
ирмэг	ирмэгтэй	ирмэг-тэй	N-COM;SG	102
ирмэг	ирмэгээ	ирмэг-ээ	N-VOC;SG	3
булан	буланд	булан-д	N-DAT;SG	3751
булан	буланг	булан-г	N-ACC;SG	566
булан	булантай	булан-тай	N-COM;SG	202
үзүүр	үзүүрийн	үзүүр-ийн	N-GEN;SG	243
үзүүр	үзүүрт	үзүүр-т	N-DAT;SG	1378
үзүүр	үзүүрийг	үзүүр-ийг	N-ACC;SG	326
үзүүр	үзүүрээс	үзүүр-ээс	N-ABL;SG	220
үзүүр	үзүүрээр	үзүүр-ээр	N-INS;SG	259
үзүүр	үзүүртэй	үзүүр-тэй	N-COM;SG	330
үзүүр	үзүүрээ	үзүүр-ээ	N-VOC;SG	18
үзэгдэл	үзэгдэлд	үзэгдэл-д	N-DAT;SG	507
үзэгдэл	үзэгдэлтэй	үзэгдэл-тэй	N-COM;SG	432
гавьяа	гавьяаг	гавьяа-г	N-ACC;SG	1017
гавьяа	гавьяатай	гавьяа-тай	N-COM;SG	752
найруулагч	найруулагчийн	найруулагч-ийн	N-GEN;SG	1096
найруулагч	найруулагчийг	найруулагч-ийг	N-ACC;SG	114
найруулагч	найруулагчаас	найруулагч-аас	N-ABL;SG	68
найруулагч	найруулагчаар	найруулагч-аар	N-INS;SG	1427
найруулагч	найруулагчтай	найруулагч-тай	N-COM;SG	141
найруулагч	найруулагчаа	найруулагч-аа	N-VOC;SG	22
соёл	соёлын	соёл-ын	N-GEN;SG	48819
соёл	соёлд	соёл-д	N-DAT;SG	1757
соёл	соёлыг	соёл-ыг	N-ACC;SG	8456
соёл	соёлоос	соёл-оос	N-ABL;SG	555
соёл	соёлоор	соёл-оор	N-INS;SG	415
соёл	соёлтой	соёл-той	N-COM;SG	7208
соёл	соёлоо	соёл-оо	N-VOC;SG	3081
бэлхүүсэвч	бэлхүүсэвчийн	бэлхүүсэвч-ийн	N-GEN;SG	1
бэлхүүсэвч	бэлхүүсэвчийг	бэлхүүсэвч-ийг	N-ACC;SG	1
бэлхүүсэвч	бэлхүүсэвчээр	бэлхүүсэвч-ээр	N-INS;SG	1
бэлхүүсэвч	бэлхүүсэвчтэй	бэлхүүсэвч-тэй	N-COM;SG	1
бэлхүүсэвч	бэлхүүсэвчээ	бэлхүүсэвч-ээ	N-VOC;SG	1
суурь	суурьд	суурь-д	N-DAT;SG	51
суурь	сууриас	суури-ас	N-ABL;SG	385
суурь	сууриар	суури-ар	N-INS;SG	418
суурь	суурьтай	суурь-тай	N-COM;SG	10322
суурь	сууриа	суури-а	N-VOC;SG	13433
костюм	костюмын	костюм-ын	N-GEN;SG	12
костюм	костюмд	костюм-д	N-DAT;SG	1
костюм	костюмыг	костюм-ыг	N-ACC;SG	30
костюм	костюмаас	костюм-аас	N-ABL;SG	1
костюм	костюмаар	костюм-аар	N-INS;SG	10
костюм	костюмтай	костюм-тай	N-COM;SG	69
костюм	костюмаа	костюм-аа	N-VOC;SG	44
товч	товчийн	товч-ийн	N-GEN;SG	13
товч	товчийг	товч-ийг	N-ACC;SG	2654
товч	товчоос	товч-оос	N-ABL;SG	4
товч	товчоор	товч-оор	N-INS;SG	549
товч	товчтой	товч-той	N-COM;SG	147
товч	товчоо	товч-оо	N-VOC;SG	8473
хандлага	хандлагад	хандлага-д	N-DAT;SG	1627
хандлага	хандлагатай	хандлага-тай	N-COM;SG	9555
байдал	байдалд	байдал-д	N-DAT;SG	43715
байдал	байдалтай	байдал-тай	N-COM;SG	19367
холбоо	холбоог	холбоо-г	N-ACC;SG	7989
холбоо	холбоотой	холбоо-той	N-COM;SG	133338
холболт	холболтын	холболт-ын	N-GEN;SG	1215
холболт	холболтыг	холболт-ыг	N-ACC;SG	591
холболт	холболтоос	холболт-оос	N-ABL;SG	40
холболт	холболтоор	холболт-оор	N-INS;SG	142
холболт	холболттой	холболт-той	N-COM;SG	336
холболт	холболтоо	холболт-оо	N-VOC;SG	57
гүүр	гүүрийг	гүүр-ийг	N-ACC;SG	1416
гүүр	гүүрээс	гүүр-ээс	N-ABL;SG	104
гүүр	гүүрээр	гүүр-ээр	N-INS;SG	477
гүүр	гүүртэй	гүүр-тэй	N-COM;SG	91
гүүр	гүүрээ	гүүр-ээ	N-VOC;SG	76
хөвөн	хөвөнд	хөвөн-д	N-DAT;SG	93
хөвөн	хөвөнг	хөвөн-г	N-ACC;SG	74
хөвөн	хөвөнтэй	хөвөн-тэй	N-COM;SG	122
шумбагч	шумбагчийн	шумбагч-ийн	N-GEN;SG	31
шумбагч	шумбагчийг	шумбагч-ийг	N-ACC;SG	19
шумбагч	шумбагчаас	шумбагч-аас	N-ABL;SG	4
шумбагч	шумбагчаар	шумбагч-аар	N-INS;SG	5
шумбагч	шумбагчтай	шумбагч-тай	N-COM;SG	3
шумбагч	шумбагчаа	шумбагч-аа	N-VOC;SG	1
оролцоо	оролцоог	оролцоо-г	N-ACC;SG	12977
оролцоо	оролцоотой	оролцоо-той	N-COM;SG	6531
ойлголт	ойлголтын	ойлголт-ын	N-GEN;SG	1345
ойлголт	ойлголтыг	ойлголт-ыг	N-ACC;SG	6975
ойлголт	ойлголтоос	ойлголт-оос	N-ABL;SG	472
ойлголт	ойлголтоор	ойлголт-оор	N-INS;SG	902
ойлголт	ойлголттой	ойлголт-той	N-COM;SG	4591
ойлголт	ойлголтоо	ойлголт-оо	N-VOC;SG	575
цэг	цэгийн	цэг-ийн	N-GEN;SG	4671
цэг	цэгт	цэг-т	N-DAT;SG	4035
цэг	цэгийг	цэг-ийг	N-ACC;SG	1699
цэг	цэгээс	цэг-ээс	N-ABL;SG	1897
цэг	цэгээр	цэг-ээр	N-INS;SG	419
цэг	цэгтэй	цэг-тэй	N-COM;SG	336
цэг	цэгээ	цэг-ээ	N-VOC;SG	232
эмч	эмчийн	эмч-ийн	N-GEN;SG	7506
эмч	эмчийг	эмч-ийг	N-ACC;SG	1082
эмч	эмчээс	эмч-ээс	N-ABL;SG	931
эмч	эмчээр	эмч-ээр	N-INS;SG	1105
эмч	эмчтэй	эмч-тэй	N-COM;SG	981
эмч	эмчээ	эмч-ээ	N-VOC;SG	279
касс	кассыг	касс-ыг	N-ACC;SG	5
касс	кассаар	касс-аар	N-INS;SG	209
касс	касстай	касс-тай	N-COM;SG	16
касс	кассаа	касс-аа	N-VOC;SG	30
хөдөлгөгч	хөдөлгөгчийн	хөдөлгөгч-ийн	N-GEN;SG	3
хөдөлгөгч	хөдөлгөгчийг	хөдөлгөгч-ийг	N-ACC;SG	1
хөдөлгөгч	хөдөлгөгчөөс	хөдөлгөгч-өөс	N-ABL;SG	1
хөдөлгөгч	хөдөлгөгчөөр	хөдөлгөгч-өөр	N-INS;SG	1
хөдөлгөгч	хөдөлгөгчтэй	хөдөлгөгч-тэй	N-COM;SG	2
хөдөлгөгч	хөдөлгөгчөө	хөдөлгөгч-өө	N-VOC;SG	1
амжилт	амжилтын	амжилт-ын	N-GEN;SG	6816
амжилт	амжилтыг	амжилт-ыг	N-ACC;SG	8330
амжилт	амжилтаас	амжилт-аас	N-ABL;SG	496
амжилт	амжилтаар	амжилт-аар	N-INS;SG	1993
амжилт	амжилттай	амжилт-тай	N-COM;SG	79146
амжилт	амжилтаа	амжилт-аа	N-VOC;SG	2651
ололт	ололтын	ололт-ын	N-GEN;SG	448
ололт	ололтыг	ололт-ыг	N-ACC;SG	940
ололт	ололтоос	ололт-оос	N-ABL;SG	68
ололт	ололтоор	ололт-оор	N-INS;SG	107
ололт	ололттой	ололт-той	N-COM;SG	487
ололт	ололтоо	ололт-оо	N-VOC;SG	136
шударга	шударгад	шударга-д	N-DAT;SG	19
шударга	шударгатай	шударга-тай	N-COM;SG	2
боломж	боломжийн	боломж-ийн	N-GEN;SG	9172
боломж	боломжийг	боломж-ийг	N-ACC;SG	45751
боломж	боломжоос	боломж-оос	N-ABL;SG	474
боломж	боломжоор	боломж-оор	N-INS;SG	3471
боломж	боломжтой	боломж-той	N-COM;SG	154381
боломж	боломжоо	боломж-оо	N-VOC;SG	2945
эрин	эриний	эрин-ий	N-GEN;SG	1096
эрин	эринд	эрин-д	N-DAT;SG	892
эрин	эринийг	эрин-ийг	N-ACC;SG	152
эрин	эринээс	эрин-ээс	N-ABL;SG	79
эрин	эринээр	эрин-ээр	N-INS;SG	4
эрин	эринтэй	эрин-тэй	N-COM;SG	62
эрин	эринээ	эрин-ээ	N-VOC;SG	2
талбай	талбайн	талбай-н	N-GEN;SG	15369
талбай	талбайд	талбай-д	N-DAT;SG	25910
талбай	талбайг	талбай-г	N-ACC;SG	8867
талбай	талбайтай	талбай-тай	N-COM;SG	5736
шүүх	шүүхийн	шүүх-ийн	N-GEN;SG	71745
шүүх	шүүхийг	шүүх-ийг	N-ACC;SG	1897
шүүх	шүүхээс	шүүх-ээс	N-ABL;SG	7469
шүүх	шүүхээр	шүүх-ээр	N-INS;SG	8537
шүүх	шүүхтэй	шүүх-тэй	N-COM;SG	342
шүүх	шүүхээ	шүүх-ээ	N-VOC;SG	94
хандивлагч	хандивлагчийн	хандивлагч-ийн	N-GEN;SG	123
хандивлагч	хандивлагчийг	хандивлагч-ийг	N-ACC;SG	5
хандивлагч	хандивлагчаас	хандивлагч-аас	N-ABL;SG	10
хандивлагч	хандивлагчаар	хандивлагч-аар	N-INS;SG	12
хандивлагч	хандивлагчтай	хандивлагч-тай	N-COM;SG	17
хандивлагч	хандивлагчаа	хандивлагч-аа	N-VOC;SG	5
бүртгэл	бүртгэлийн	бүртгэл-ийн	N-GEN;SG	39642
бүртгэл	бүртгэлд	бүртгэл-д	N-DAT;SG	8854
бүртгэл	бүртгэлийг	бүртгэл-ийг	N-ACC;SG	4985
бүртгэл	бүртгэлээс	бүртгэл-ээс	N-ABL;SG	1489
бүртгэл	бүртгэлээр	бүртгэл-ээр	N-INS;SG	707
бүртгэл	бүртгэлтэй	бүртгэл-тэй	N-COM;SG	13226
бүртгэл	бүртгэлээ	бүртгэл-ээ	N-VOC;SG	5727
урвагч	урвагчийн	урвагч-ийн	N-GEN;SG	47
урвагч	урвагчийг	урвагч-ийг	N-ACC;SG	34
урвагч	урвагчаас	урвагч-аас	N-ABL;SG	7
урвагч	урвагчаар	урвагч-аар	N-INS;SG	15
урвагч	урвагчтай	урвагч-тай	N-COM;SG	9
урвагч	урвагчаа	урвагч-аа	N-VOC;SG	3
шингэлт	шингэлтийн	шингэлт-ийн	N-GEN;SG	1
шингэлт	шингэлтийг	шингэлт-ийг	N-ACC;SG	17
шингэлт	шингэлтээс	шингэлт-ээс	N-ABL;SG	1
шингэлт	шингэлтээр	шингэлт-ээр	N-INS;SG	1
шингэлт	шингэлттэй	шингэлт-тэй	N-COM;SG	1
шингэлт	шингэлтээ	шингэлт-ээ	N-VOC;SG	1
ухралт	ухралтын	ухралт-ын	N-GEN;SG	20
ухралт	ухралтыг	ухралт-ыг	N-ACC;SG	25
ухралт	ухралтаас	ухралт-аас	N-ABL;SG	4
ухралт	ухралтаар	ухралт-аар	N-INS;SG	1
ухралт	ухралттай	ухралт-тай	N-COM;SG	5
ухралт	ухралтаа	ухралт-аа	N-VOC;SG	1
байгаль	байгальд	байгаль-д	N-DAT;SG	4071
байгаль	байгалиас	байгали-ас	N-ABL;SG	1032
байгаль	байгалиар	байгали-ар	N-INS;SG	94
байгаль	байгальтай	байгаль-тай	N-COM;SG	776
байгаль	байгалиа	байгали-а	N-VOC;SG	1079
архичин	архичинд	архичин-д	N-DAT;SG	12
архичин	архичинтай	архичин-тай	N-COM;SG	13
гишүүн	гишүүний	гишүүн-ий	N-GEN;SG	21559
гишүүн	гишүүнд	гишүүн-д	N-DAT;SG	3663
гишүүн	гишүүнийг	гишүүн-ийг	N-ACC;SG	6132
гишүүн	гишүүнээс	гишүүн-ээс	N-ABL;SG	4252
гишүүн	гишүүнээр	гишүүн-ээр	N-INS;SG	10469
гишүүн	гишүүнтэй	гишүүн-тэй	N-COM;SG	5398
гишүүн	гишүүнээ	гишүүн-ээ	N-VOC;SG	1159
үлдэгдэл	үлдэгдэлд	үлдэгдэл-д	N-DAT;SG	150
үлдэгдэл	үлдэгдэлтэй	үлдэгдэл-тэй	N-COM;SG	527
хувирал	хувиралд	хувирал-д	N-DAT;SG	116
хувирал	хувиралтай	хувирал-тай	N-COM;SG	35
урвал	урвалын	урвал-ын	N-GEN;SG	206
урвал	урвалд	урвал-д	N-DAT;SG	322
урвал	урвалыг	урвал-ыг	N-ACC;SG	150
урвал	урвалаас	урвал-аас	N-ABL;SG	36
урвал	урвалаар	урвал-аар	N-INS;SG	72
урвал	урвалтай	урвал-тай	N-COM;SG	13
урвал	урвалаа	урвал-аа	N-VOC;SG	60
биежилт	биежилтийн	биежилт-ийн	N-GEN;SG	3
биежилт	биежилтийг	биежилт-ийг	N-ACC;SG	1
биежилт	биежилтээс	биежилт-ээс	N-ABL;SG	1
биежилт	биежилтээр	биежилт-ээр	N-INS;SG	1
биежилт	биежилттэй	биежилт-тэй	N-COM;SG	1
биежилт	биежилтээ	биежилт-ээ	N-VOC;SG	1
ардчилал	ардчилалд	ардчилал-д	N-DAT;SG	782
ардчилал	ардчилалтай	ардчилал-тай	N-COM;SG	401
цохиур	цохиурын	цохиур-ын	N-GEN;SG	11
цохиур	цохиурт	цохиур-т	N-DAT;SG	7
цохиур	цохиурыг	цохиур-ыг	N-ACC;SG	21
цохиур	цохиураас	цохиур-аас	N-ABL;SG	1
цохиур	цохиураар	цохиур-аар	N-INS;SG	26
цохиур	цохиуртай	цохиур-тай	N-COM;SG	6
цохиур	цохиураа	цохиур-аа	N-VOC;SG	10
гүйцэтгэл	гүйцэтгэлийн	гүйцэтгэл-ийн	N-GEN;SG	7534
гүйцэтгэл	гүйцэтгэлд	гүйцэтгэл-д	N-DAT;SG	1692
гүйцэтгэл	гүйцэтгэлийг	гүйцэтгэл-ийг	N-ACC;SG	3744
гүйцэтгэл	гүйцэтгэлээс	гүйцэтгэл-ээс	N-ABL;SG	202
гүйцэтгэл	гүйцэтгэлээр	гүйцэтгэл-ээр	N-INS;SG	702
гүйцэтгэл	гүйцэтгэлтэй	гүйцэтгэл-тэй	N-COM;SG	1714
гүйцэтгэл	гүйцэтгэлээ	гүйцэтгэл-ээ	N-VOC;SG	1790
фашизм	фашизмын	фашизм-ын	N-GEN;SG	185
фашизм	фашизмд	фашизм-д	N-DAT;SG	14
фашизм	фашизмыг	фашизм-ыг	N-ACC;SG	96
фашизм	фашизмаас	фашизм-аас	N-ABL;SG	64
фашизм	фашизмаар	фашизм-аар	N-INS;SG	1
фашизм	фашизмтай	фашизм-тай	N-COM;SG	8
фашизм	фашизмаа	фашизм-аа	N-VOC;SG	2
ургац	ургацын	ургац-ын	N-GEN;SG	1561
ургац	ургацыг	ургац-ыг	N-ACC;SG	427
ургац	ургацаас	ургац-аас	N-ABL;SG	92
ургац	ургацаар	ургац-аар	N-INS;SG	33
ургац	ургацтай	ургац-тай	N-COM;SG	81
ургац	ургацаа	ургац-аа	N-VOC;SG	475
кредит	кредитийн	кредит-ийн	N-GEN;SG	463
кредит	кредитийг	кредит-ийг	N-ACC;SG	101
кредит	кредитээс	кредит-ээс	N-ABL;SG	8
кредит	кредитээр	кредит-ээр	N-INS;SG	31
кредит	кредиттэй	кредит-тэй	N-COM;SG	111
кредит	кредитээ	кредит-ээ	N-VOC;SG	79
масштаб	масштабын	масштаб-ын	N-GEN;SG	284
масштаб	масштабт	масштаб-т	N-DAT;SG	3
масштаб	масштабыг	масштаб-ыг	N-ACC;SG	31
масштаб	масштабаас	масштаб-аас	N-ABL;SG	2
масштаб	масштабаар	масштаб-аар	N-INS;SG	65
масштаб	масштабтай	масштаб-тай	N-COM;SG	238
масштаб	масштабаа	масштаб-аа	N-VOC;SG	3
харьцаа	харьцааг	харьцаа-г	N-ACC;SG	1885
харьцаа	харьцаатай	харьцаа-тай	N-COM;SG	2770
багш	багшийн	багш-ийн	N-GEN;SG	15918
багш	багшийг	багш-ийг	N-ACC;SG	2600
багш	багшаас	багш-аас	N-ABL;SG	987
багш	багшаар	багш-аар	N-INS;SG	3673
багш	багштай	багш-тай	N-COM;SG	3078
багш	багшаа	багш-аа	N-VOC;SG	841
давтамж	давтамжийн	давтамж-ийн	N-GEN;SG	1185
давтамж	давтамжийг	давтамж-ийг	N-ACC;SG	680
давтамж	давтамжаас	давтамж-аас	N-ABL;SG	48
давтамж	давтамжаар	давтамж-аар	N-INS;SG	260
давтамж	давтамжтай	давтамж-тай	N-COM;SG	1328
давтамж	давтамжаа	давтамж-аа	N-VOC;SG	73
дутагдал	дутагдалд	дутагдал-д	N-DAT;SG	1787
дутагдал	дутагдалтай	дутагдал-тай	N-COM;SG	6258
алдаа	алдааг	алдаа-г	N-ACC;SG	4681
алдаа	алдаатай	алдаа-тай	N-COM;SG	4386
доголдол	доголдолд	доголдол-д	N-DAT;SG	62
доголдол	доголдолтой	доголдол-той	N-COM;SG	539
ахмад	ахмадын	ахмад-ын	N-GEN;SG	3932
ахмад	ахмадыг	ахмад-ыг	N-ACC;SG	215
ахмад	ахмадаас	ахмад-аас	N-ABL;SG	41
ахмад	ахмадаар	ахмад-аар	N-INS;SG	14
ахмад	ахмадтай	ахмад-тай	N-COM;SG	50
ахмад	ахмадаа	ахмад-аа	N-VOC;SG	128
болор	болорт	болор-т	N-DAT;SG	14
болор	болортой	болор-той	N-COM;SG	8
чиглэл	чиглэлийн	чиглэл-ийн	N-GEN;SG	26783
чиглэл	чиглэлд	чиглэл-д	N-DAT;SG	18185
чиглэл	чиглэлийг	чиглэл-ийг	N-ACC;SG	7330
чиглэл	чиглэлээс	чиглэл-ээс	N-ABL;SG	470
чиглэл	чиглэлээр	чиглэл-ээр	N-INS;SG	78362
чиглэл	чиглэлтэй	чиглэл-тэй	N-COM;SG	1642
чиглэл	чиглэлээ	чиглэл-ээ	N-VOC;SG	1484
элч	элчийн	элч-ийн	N-GEN;SG	513
элч	элчийг	элч-ийг	N-ACC;SG	304
элч	элчээс	элч-ээс	N-ABL;SG	19
элч	элчээр	элч-ээр	N-INS;SG	581
элч	элчтэй	элч-тэй	N-COM;SG	36
элч	элчээ	элч-ээ	N-VOC;SG	53
зөрчил	зөрчилд	зөрчил-д	N-DAT;SG	2014
