ROOT	WORD	SEGMENTATION	ANALYSIS	FREQ
gölge	gölgenizin	gölge-niz-in	N-PSS2P-GEN	1
gölge	gölgede	gölge-de	N-LOC	42
gölge	gölge	gölge	N	172
gölge	gölgelere	gölge-ler-e	N-PL-DAT	8
gölge	gölgesinin	gölge-si-nin	N-PSS3S-GEN	6
gölge	gölgenin	gölge-nin	N-GEN	6
gölge	gölgelerimiz	gölge-ler-imiz	N-PL-PSS1P	1
gölge	gölgeniz	gölge-niz	N-PSS2P	1
gölge	gölgemizden	gölge-miz-den	N-PSS1P-ABL	1
gölge	gölgeye	gölge-ye	N-DAT	13
gölge	gölgeni	gölge-n-i	N-PSS2S-ACC	3
gölge	gölgesi	gölge-si	N-PSS3S	48
gölge	gölgenden	gölge-n-den	N-PSS2S-ABL	1
gölge	gölgelerden	gölge-ler-den	N-PL-ABL	6
gömlek	gömleklerin	gömlek-ler-in	N-PL-GEN	2
gömlek	gömlekten	gömlek-ten	N-ABL	1
gömlek	gömleklerinin	gömlek-ler-i-nin	N-PL-PSS3S-GEN	2
gömlek	gömlekler	gömlek-ler	N-PL	6
gömlek	gömlekleri	gömlek-ler-i	N-PL-PSS3S	11
gömlek	gömlekte	gömlek-te	N-LOC	1
gömlek	gömlek	gömlek	N	93
gömlek	gömleklerde	gömlek-ler-de	N-PL-LOC	2
gönül	gönüllerimizi	gönül-ler-imiz-i	N-PL-PSS1P-ACC	6
gönül	gönüllerin	gönül-ler-in	N-PL-GEN	7
gönül	gönülden	gönül-den	N-ABL	106
gönül	gönüllerinin	gönül-ler-i-nin	N-PL-PSS3S-GEN	1
gönül	gönüllerinizi	gönül-ler-iniz-i	N-PL-PSS2P-ACC	1
gönül	gönüllerimizde	gönül-ler-imiz-de	N-PL-PSS1P-LOC	5
gönül	gönüller	gönül-ler	N-PL	31
gönül	gönülleri	gönül-ler-i	N-PL-ACC	22
gönül	gönülde	gönül-de	N-LOC	8
gönül	gönül	gönül	N	514
gönül	gönüllere	gönül-ler-e	N-PL-DAT	15
gönül	gönüllerimiz	gönül-ler-imiz	N-PL-PSS1P	2
gönül	gönüllerde	gönül-ler-de	N-PL-LOC	19
gönül	gönüllerimize	gönül-ler-imiz-e	N-PL-PSS1P-DAT	2
gönül	gönülleriniz	gönül-ler-iniz	N-PL-PSS2P	1
gönül	gönüllerden	gönül-ler-den	N-PL-ABL	3
görüntü	görüntülerimizi	görüntü-ler-imiz-i	N-PL-PSS1P-ACC	1
görüntü	görüntülerinizin	görüntü-ler-iniz-in	N-PL-PSS2P-GEN	2
görüntü	görüntülerimizin	görüntü-ler-imiz-in	N-PL-PSS1P-GEN	1
görüntü	görüntüyü	görüntü-yü	N-ACC	166
görüntü	görüntün	görüntü-n	N-PSS2S	3
görüntü	görüntülerin	görüntü-ler-in	N-PL-GEN	109
görüntü	görüntüden	görüntü-den	N-ABL	21
görüntü	görüntülerinin	görüntü-ler-i-nin	N-PL-PSS3S-GEN	34
görüntü	görüntülerinizi	görüntü-ler-iniz-i	N-PL-PSS2P-ACC	16
görüntü	görüntünde	görüntü-n-de	N-PSS2S-LOC	1
görüntü	görüntüler	görüntü-ler	N-PL	425
görüntü	görüntüleri	görüntü-ler-i	N-PL-ACC	305
görüntü	görüntünüzün	görüntü-nüz-ün	N-PSS2P-GEN	3
görüntü	görüntünüzü	görüntü-nüz-ü	N-PSS2P-ACC	12
görüntü	görüntüde	görüntü-de	N-LOC	26
görüntü	görüntü	görüntü	N	1432
görüntü	görüntülerinize	görüntü-ler-iniz-e	N-PL-PSS2P-DAT	2
görüntü	görüntülere	görüntü-ler-e	N-PL-DAT	43
görüntü	görüntüsünün	görüntü-sü-nün	N-PSS3S-GEN	25
görüntü	görüntünün	görüntü-nün	N-GEN	128
görüntü	görüntülerde	görüntü-ler-de	N-PL-LOC	25
görüntü	görüntünüz	görüntü-nüz	N-PSS2P	3
görüntü	görüntünüzde	görüntü-nüz-de	N-PSS2P-LOC	1
görüntü	görüntüye	görüntü-ye	N-DAT	71
görüntü	görüntümüzü	görüntü-müz-ü	N-PSS1P-ACC	1
görüntü	görüntünü	görüntü-n-ü	N-PSS2S-ACC	1
görüntü	görüntümüz	görüntü-müz	N-PSS1P	5
görüntü	görüntüsü	görüntü-sü	N-PSS3S	221
görüntü	görüntülerden	görüntü-ler-den	N-PL-ABL	18
görüş	görüşümüzde	görüş-ümüz-de	N-PSS1P-LOC	1
görüş	görüşlerimizi	görüş-ler-imiz-i	N-PL-PSS1P-ACC	50
görüş	görüşlerinizin	görüş-ler-iniz-in	N-PL-PSS2P-GEN	3
görüş	görüşlerimizin	görüş-ler-imiz-in	N-PL-PSS1P-GEN	3
görüş	görüşü	görüş-ü	N-PSS3S	688
görüş	görüşün	görüş-ün	N-GEN	116
görüş	görüşlerin	görüş-ler-in	N-PL-GEN	91
görüş	görüşten	görüş-ten	N-ABL	23
görüş	görüşlerinizi	görüş-ler-iniz-i	N-PL-PSS2P-ACC	87
görüş	görüşlerimizde	görüş-ler-imiz-de	N-PL-PSS1P-LOC	2
görüş	görüşümüze	görüş-ümüz-e	N-PSS1P-DAT	9
görüş	görüşler	görüş-ler	N-PL	269
görüş	görüşleri	görüş-ler-i	N-PL-ACC	457
görüş	görüşünüzün	görüş-ünüz-ün	N-PSS2P-GEN	3
görüş	görüşümüzün	görüş-ümüz-ün	N-PSS1P-GEN	1
görüş	görüşünüzü	görüş-ünüz-ü	N-PSS2P-ACC	4
görüş	görüşte	görüş-te	N-LOC	56
görüş	görüş	görüş	N	1463
görüş	görüşlerinize	görüş-ler-iniz-e	N-PL-PSS2P-DAT	3
görüş	görüşlere	görüş-ler-e	N-PL-DAT	85
görüş	görüşünün	görüş-ü-nün	N-PSS3S-GEN	58
görüş	görüşlerimiz	görüş-ler-imiz	N-PL-PSS1P	21
görüş	görüşlerde	görüş-ler-de	N-PL-LOC	11
görüş	görüşünüze	görüş-ünüz-e	N-PSS2P-DAT	5
görüş	görüşe	görüş-e	N-DAT	127
görüş	görüşümüzü	görüş-ümüz-ü	N-PSS1P-ACC	16
görüş	görüşümüz	görüş-ümüz	N-PSS1P	12
görüş	görüşlerimize	görüş-ler-imiz-e	N-PL-PSS1P-DAT	1
görüş	görüşlerden	görüş-ler-den	N-PL-ABL	28
gösteri	gösterilerimizi	gösteri-ler-imiz-i	N-PL-PSS1P-ACC	1
gösteri	gösteriyi	gösteri-yi	N-ACC	22
gösteri	gösterilerin	gösteri-ler-in	N-PL-GEN	19
gösteri	gösteriden	gösteri-den	N-ABL	6
gösteri	gösterilerinin	gösteri-ler-i-nin	N-PL-PSS3S-GEN	19
gösteri	gösterimize	gösteri-miz-e	N-PSS1P-DAT	1
gösteri	gösteriler	gösteri-ler	N-PL	111
gösteri	gösterileri	gösteri-ler-i	N-PL-PSS3S	196
gösteri	gösteride	gösteri-de	N-LOC	24
gösteri	gösteri	gösteri	N	418
gösteri	gösterilere	gösteri-ler-e	N-PL-DAT	25
gösteri	gösterisinin	gösteri-si-nin	N-PSS3S-GEN	12
gösteri	gösterinin	gösteri-nin	N-GEN	24
gösteri	gösterilerimiz	gösteri-ler-imiz	N-PL-PSS1P	1
gösteri	gösterilerde	gösteri-ler-de	N-PL-LOC	27
gösteri	gösteriye	gösteri-ye	N-DAT	29
gösteri	gösterimizi	gösteri-miz-i	N-PSS1P-ACC	1
gösteri	gösterini	gösteri-n-i	N-PSS2S-ACC	1
gösteri	gösterimiz	gösteri-miz	N-PSS1P	3
gösteri	gösterilerimize	gösteri-ler-imiz-e	N-PL-PSS1P-DAT	1
gösteri	gösterisi	gösteri-si	N-PSS3S	206
gösteri	gösterilerden	gösteri-ler-den	N-PL-ABL	2
göt	götü	göt-ü	N-PSS3S	2
göt	götünüzü	göt-ünüz-ü	N-PSS2P-ACC	1
gözbebeği	gözbebeği	gözbebeği	N	19
gözlem	gözlemler	gözlem-ler	N-PL	136
gözlem	gözlemlere	gözlem-ler-e	N-PL-DAT	22
gözlem	gözlemlerden	gözlem-ler-den	N-PL-ABL	13
gözlem	gözlemin	gözlem-in	N-GEN	12
gözleme	gözleme	gözleme	N	61
gözlem	gözlemi	gözlem-i	N-PSS3S	28
gözlem	gözlemlerin	gözlem-ler-in	N-PL-GEN	28
gözlem	gözlemleri	gözlem-ler-i	N-PL-ACC	91
gözlem	gözlemden	gözlem-den	N-ABL	3
gözlem	gözlemlerde	gözlem-ler-de	N-PL-LOC	19
gözlem	gözlemde	gözlem-de	N-LOC	4
gözlem	gözlem	gözlem	N	489
gözleme	gözlemeyi	gözleme-yi	N-ACC	3
gözleme	gözlemeden	gözleme-den	N-ABL	1
gözleme	gözlemeler	gözleme-ler	N-PL	1
gözleme	gözlemede	gözleme-de	N-LOC	2
gözleme	gözlemenin	gözleme-nin	N-GEN	7
gözleme	gözlemeye	gözleme-ye	N-DAT	5
gözleme	gözlemesi	gözleme-si	N-PSS3S	3
gözlükçü	gözlükçü	gözlükçü	N	13
gözlükçü	gözlükçülere	gözlükçü-ler-e	N-PL-DAT	2
gözlükçü	gözlükçüye	gözlükçü-ye	N-DAT	1
gözlükçü	gözlükçüler	gözlükçü-ler	N-PL	4
gözlükçü	gözlükçüden	gözlükçü-den	N-ABL	1
gözlükçü	gözlükçünün	gözlükçü-nün	N-GEN	1
gözlükçü	gözlükçülerden	gözlükçü-ler-den	N-PL-ABL	1
gözyaşı	gözyaşının	gözyaşı-nın	N-GEN	3
gözyaşı	gözyaşı	gözyaşı	N	88
göç	göçün	göç-ün	N-GEN	67
göç	göç	göç	N	836
göç	göçlere	göç-ler-e	N-PL-DAT	3
göçü	göçünün	göçü-nün	N-GEN	14
göç	göçe	göç-e	N-DAT	56
göç	göçler	göç-ler	N-PL	60
göç	göçü	göç-ü	N-PSS3S	73
göç	göçten	göç-ten	N-ABL	8
göç	göçleri	göç-ler-i	N-PL-PSS3S	17
göç	göçte	göç-te	N-LOC	6
göç	göçlerin	göç-ler-in	N-PL-GEN	18
göç	göçlerde	göç-ler-de	N-PL-LOC	8
göç	göçlerden	göç-ler-den	N-PL-ABL	4
göğüs	göğüslerinizin	göğüs-ler-iniz-in	N-PL-PSS2P-GEN	2
göğüs	göğüslerin	göğüs-ler-in	N-PL-GEN	7
göğüs	göğüsten	göğüs-ten	N-ABL	6
göğüs	göğüslerinin	göğüs-ler-i-nin	N-PL-PSS3S-GEN	4
göğüs	göğüslerinizi	göğüs-ler-iniz-i	N-PL-PSS2P-ACC	1
göğüs	göğüsler	göğüs-ler	N-PL	11
göğüs	göğüsleri	göğüs-ler-i	N-PL-PSS3S	15
göğüs	göğüste	göğüs-te	N-LOC	24
göğüs	göğüs	göğüs	N	511
göğüs	göğüslere	göğüs-ler-e	N-PL-DAT	1
göğüs	göğüslerde	göğüs-ler-de	N-PL-LOC	4
göğüs	göğüslerden	göğüs-ler-den	N-PL-ABL	1
gübre	gübrelerinin	gübre-ler-i-nin	N-PL-PSS3S-GEN	8
gübre	gübre	gübre	N	305
gübre	gübrelere	gübre-ler-e	N-PL-DAT	6
gübre	gübresinin	gübre-si-nin	N-PSS3S-GEN	5
gübre	gübreye	gübre-ye	N-DAT	12
gübre	gübreler	gübre-ler	N-PL	35
gübre	gübreyi	gübre-yi	N-ACC	2
gübre	gübreden	gübre-den	N-ABL	3
gübre	gübreleri	gübre-ler-i	N-PL-PSS3S	18
gübre	gübrede	gübre-de	N-LOC	5
gübre	gübrenin	gübre-nin	N-GEN	12
gübre	gübrelerin	gübre-ler-in	N-PL-GEN	27
gübre	gübrelerde	gübre-ler-de	N-PL-LOC	2
gübre	gübresi	gübre-si	N-PSS3S	23
gübre	gübrelerden	gübre-ler-den	N-PL-ABL	1
güdüm	güdümden	güdüm-den	N-ABL	1
güdüm	güdümler	güdüm-ler	N-PL	2
güdüm	güdüm	güdüm	N	32
güdüm	güdüme	güdüm-e	N-DAT	2
gün	günümüzde	gün-ümüz-de	N-PSS1P-LOC	1757
gün	günlerimizi	gün-ler-imiz-i	N-PL-PSS1P-ACC	3
gün	günlerinizin	gün-ler-iniz-in	N-PL-PSS2P-GEN	5
gün	günlerimizin	gün-ler-imiz-in	N-PL-PSS1P-GEN	2
gün	günü	gün-ü	N-PSS3S	5625
gün	günün	gün-ün	N-GEN	941
gün	günlerin	gün-ler-in	N-PL-GEN	138
gün	günden	gün-den	N-ABL	798
gün	günlerinin	gün-ler-i-nin	N-PL-PSS3S-GEN	47
gün	günlerinizi	gün-ler-iniz-i	N-PL-PSS2P-ACC	5
gün	günlerimizde	gün-ler-imiz-de	N-PL-PSS1P-LOC	4
gün	günümüze	gün-ümüz-e	N-PSS1P-DAT	565
gün	günler	gün-ler	N-PL	621
gün	günleri	gün-ler-i	N-PL-PSS3S	851
gün	gününüzün	gün-ünüz-ün	N-PSS2P-GEN	5
gün	günümüzün	gün-ümüz-ün	N-PSS1P-GEN	207
gün	gününüzü	gün-ünüz-ü	N-PSS2P-ACC	23
gün	günde	gün-de	N-LOC	1365
gün	gün	gün	N	11539
gün	günlerinizde	gün-ler-iniz-de	N-PL-PSS2P-LOC	8
gün	günlerimizden	gün-ler-imiz-den	N-PL-PSS1P-ABL	2
gün	günlerinize	gün-ler-iniz-e	N-PL-PSS2P-DAT	2
gün	günlere	gün-ler-e	N-PL-DAT	144
gün	gününün	gün-ü-nün	N-PSS3S-GEN	77
gün	gününüzden	gün-ünüz-den	N-PSS2P-ABL	1
gün	günlerimiz	gün-ler-imiz	N-PL-PSS1P	16
gün	günlerde	gün-ler-de	N-PL-LOC	1222
gün	gününüz	gün-ünüz	N-PSS2P	12
gün	günümüzden	gün-ümüz-den	N-PSS1P-ABL	20
gün	gününüze	gün-ünüz-e	N-PSS2P-DAT	2
gün	gününüzde	gün-ünüz-de	N-PSS2P-LOC	4
gün	güne	gün-e	N-DAT	761
gün	günümüzü	gün-ümüz-ü	N-PSS1P-ACC	16
gün	günümüz	gün-ümüz	N-PSS1P	517
gün	günlerimize	gün-ler-imiz-e	N-PL-PSS1P-DAT	2
gün	günlerden	gün-ler-den	N-PL-ABL	95
günah	günahlarımızı	günah-lar-ımız-ı	N-PL-PSS1P-ACC	1
günah	günahı	günah-ı	N-PSS3S	28
günah	günahın	günah-ın	N-GEN	7
günah	günahların	günah-lar-ın	N-PL-GEN	4
günah	günahtan	günah-tan	N-ABL	5
günah	günahlarının	günah-lar-ı-nın	N-PL-PSS3S-GEN	1
günah	günahlarınızı	günah-lar-ınız-ı	N-PL-PSS2P-ACC	4
günah	günahlar	günah-lar	N-PL	9
günah	günahları	günah-lar-ı	N-PL-PSS3S	8
günah	günahta	günah-ta	N-LOC	1
günah	günah	günah	N	97
günah	günahlarınıza	günah-lar-ınız-a	N-PL-PSS2P-DAT	1
günah	günahlara	günah-lar-a	N-PL-DAT	3
günah	günahlarımız	günah-lar-ımız	N-PL-PSS1P	1
günah	günaha	günah-a	N-DAT	6
günah	günahımızı	günah-ımız-ı	N-PSS1P-ACC	1
günah	günahımız	günah-ımız	N-PSS1P	2
günah	günahlarımıza	günah-lar-ımız-a	N-PL-PSS1P-DAT	1
günah	günahlardan	günah-lar-dan	N-PL-ABL	10
gündöndü	gündöndü	gündöndü	N	1
günebakan	günebakan	günebakan	N	7
güneş	güneşler	güneş-ler	N-PL	9
güneş	güneşlerden	güneş-ler-den	N-PL-ABL	1
güneş	güneşin	güneş-in	N-GEN	245
güneş	güneşe	güneş-e	N-DAT	94
güneş	güneşi	güneş-i	N-PSS3S	100
güneş	güneşlerin	güneş-ler-in	N-PL-GEN	3
güneş	güneşleri	güneş-ler-i	N-PL-PSS3S	3
güneş	güneşten	güneş-ten	N-ABL	97
güneş	güneşte	güneş-te	N-LOC	34
güneş	güneş	güneş	N	1421
günlük	günlüklerin	günlük-ler-in	N-PL-GEN	1
günlük	günlükler	günlük-ler	N-PL	2
günlük	günlükleri	günlük-ler-i	N-PL-PSS3S	2
günlük	günlüklere	günlük-ler-e	N-PL-DAT	1
günlük	günlüklerde	günlük-ler-de	N-PL-LOC	3
günlük	günlüklerden	günlük-ler-den	N-PL-ABL	1
gürgen	gürgenden	gürgen-den	N-ABL	2
gürgen	gürgen	gürgen	N	20
gürz	gürz	gürz	N	2
güven	güvenlerimizi	güven-ler-imiz-i	N-PL-PSS1P-ACC	1
güven	güveni	güven-i	N-ACC	158
güven	güvenin	güven-in	N-GEN	78
güven	güvenden	güven-den	N-ABL	4
güven	güvenlerinin	güven-ler-i-nin	N-PL-PSS3S-GEN	5
güven	güvenleri	güven-ler-i	N-PL-PSS3S	12
güven	güveninizin	güven-iniz-in	N-PSS2P-GEN	1
güven	güvenimizin	güven-imiz-in	N-PSS1P-GEN	2
güven	güveninizi	güven-iniz-i	N-PSS2P-ACC	12
güven	güvende	güven-de	N-LOC	71
güven	güven	güven	N	1254
güven	güveninin	güven-i-nin	N-PSS3S-GEN	26
güven	güveninize	güven-iniz-e	N-PSS2P-DAT	5
güven	güvene	güven-e	N-DAT	56
güven	güvenimizi	güven-imiz-i	N-PSS1P-ACC	10
güven	güvenimiz	güven-imiz	N-PSS1P	13
güvensizlik	güvensizlikler	güvensizlik-ler	N-PL	1
güvensizlik	güvensizlikleri	güvensizlik-ler-i	N-PL-PSS3S	1
güvensizlik	güvensizlikte	güvensizlik-te	N-LOC	1
güvensizlik	güvensizlik	güvensizlik	N	111
güvensizlik	güvensizliklere	güvensizlik-ler-e	N-PL-DAT	1
güvercin	güvercinin	güvercin-in	N-GEN	4
güvercin	güvercin	güvercin	N	47
güvercin	güvercinim	güvercin-im	N-PSS1S	1
güvercin	güvercine	güvercin-e	N-DAT	5
güvercin	güvercinler	güvercin-ler	N-PL	10
güvercin	güvercini	güvercin-i	N-PSS3S	8
güvercin	güvercinleri	güvercin-ler-i	N-PL-PSS3S	6
güvercin	güvercinlerin	güvercin-ler-in	N-PL-GEN	6
güz	güzler	güz-ler	N-PL	2
güz	güze	güz-e	N-DAT	5
güz	güzü	güz-ü	N-PSS3S	2
güz	güzleri	güz-ler-i	N-PL-PSS3S	1
güz	güzde	güz-de	N-LOC	2
güz	güz	güz	N	207
güçlük	güçlüklerin	güçlük-ler-in	N-PL-GEN	16
güçlük	güçlükten	güçlük-ten	N-ABL	3
güçlük	güçlükler	güçlük-ler	N-PL	100
güçlük	güçlükleri	güçlük-ler-i	N-PL-PSS3S	78
güçlük	güçlükte	güçlük-te	N-LOC	1
güçlük	güçlük	güçlük	N	248
güçlük	güçlüklere	güçlük-ler-e	N-PL-DAT	30
güçlük	güçlüklerimiz	güçlük-ler-imiz	N-PL-PSS1P	1
güçlük	güçlüklerde	güçlük-ler-de	N-PL-LOC	2
güçlük	güçlüklerden	güçlük-ler-den	N-PL-ABL	9
gırtlak	gırtlaktan	gırtlak-tan	N-ABL	2
gırtlak	gırtlakları	gırtlak-lar-ı	N-PL-ACC	1
gırtlak	gırtlakta	gırtlak-ta	N-LOC	1
gırtlak	gırtlak	gırtlak	N	32
haber	haberimizde	haber-imiz-de	N-PSS1P-LOC	3
haber	haberlerimizi	haber-ler-imiz-i	N-PL-PSS1P-ACC	3
haber	haberlerinizin	haber-ler-iniz-in	N-PL-PSS2P-GEN	1
haber	haberi	haber-i	N-PSS3S	366
haber	haberin	haber-in	N-GEN	181
haber	haberlerin	haber-ler-in	N-PL-GEN	80
haber	haberden	haber-den	N-ABL	19
haber	haberlerinin	haber-ler-i-nin	N-PL-PSS3S-GEN	23
haber	haberlerinizi	haber-ler-iniz-i	N-PL-PSS2P-ACC	8
haber	haberimize	haber-imiz-e	N-PSS1P-DAT	2
haber	haberler	haber-ler	N-PL	714
haber	haberleri	haber-ler-i	N-PL-ACC	345
haber	haberinizin	haber-iniz-in	N-PSS2P-GEN	1
haber	haberinizi	haber-iniz-i	N-PSS2P-ACC	1
haber	haberde	haber-de	N-LOC	110
haber	haber	haber	N	2113
haber	haberlerinizde	haber-ler-iniz-de	N-PL-PSS2P-LOC	1
haber	haberlere	haber-ler-e	N-PL-DAT	106
haber	haberinin	haber-i-nin	N-PSS3S-GEN	20
haber	haberlerimiz	haber-ler-imiz	N-PL-PSS1P	6
haber	haberlerde	haber-ler-de	N-PL-LOC	32
haber	haberiniz	haber-iniz	N-PSS2P	45
haber	haberinizde	haber-iniz-de	N-PSS2P-LOC	3
haber	habere	haber-e	N-DAT	92
haber	haberimizi	haber-imiz-i	N-PSS1P-ACC	1
haber	haberimiz	haber-imiz	N-PSS1P	26
haber	haberlerimize	haber-ler-imiz-e	N-PL-PSS1P-DAT	1
haber	haberlerden	haber-ler-den	N-PL-ABL	21
hacı	hacı	hacı	N	456
hacı	hacılara	hacı-lar-a	N-PL-DAT	2
hacı	hacılar	hacı-lar	N-PL	26
hacı	hacıyı	hacı-yı	N-ACC	1
hacı	hacılardan	hacı-lar-dan	N-PL-ABL	1
hadis	hadisler	hadis-ler	N-PL	31
hadis	hadislere	hadis-ler-e	N-PL-DAT	9
hadis	hadisin	hadis-in	N-GEN	15
hadise	hadise	hadise	N	111
hadis	hadisi	hadis-i	N-PSS3S	17
hadis	hadislerin	hadis-ler-in	N-PL-GEN	12
hadis	hadisleri	hadis-ler-i	N-PL-PSS3S	8
hadis	hadislerde	hadis-ler-de	N-PL-LOC	4
hadis	hadiste	hadis-te	N-LOC	6
hadis	hadis	hadis	N	101
hafriyat	hafriyatın	hafriyat-ın	N-GEN	1
hafriyat	hafriyata	hafriyat-a	N-DAT	1
hafriyat	hafriyatı	hafriyat-ı	N-PSS3S	2
hafriyat	hafriyat	hafriyat	N	23
haham	hahamlarının	haham-lar-ı-nın	N-PL-PSS3S-GEN	1
haham	haham	haham	N	4
haham	hahamların	haham-lar-ın	N-PL-GEN	1
halk	halkımızda	halk-ımız-da	N-PSS1P-LOC	6
halk	halklarımızı	halk-lar-ımız-ı	N-PL-PSS1P-ACC	1
halk	halklarımızın	halk-lar-ımız-ın	N-PL-PSS1P-GEN	6
halk	halkı	halk-ı	N-PSS3S	1047
halk	halkın	halk-ın	N-GEN	1544
halk	halkların	halk-lar-ın	N-PL-GEN	65
halk	halktan	halk-tan	N-ABL	153
halk	halklarının	halk-lar-ı-nın	N-PL-PSS3S-GEN	37
halk	halkımıza	halk-ımız-a	N-PSS1P-DAT	106
halk	halklar	halk-lar	N-PL	54
halk	halkları	halk-lar-ı	N-PL-PSS3S	63
halk	halkımızın	halk-ımız-ın	N-PSS1P-GEN	267
halk	halkınızı	halk-ınız-ı	N-PSS2P-ACC	1
halk	halkta	halk-ta	N-LOC	25
halk	halk	halk	N	3529
halk	halklara	halk-lar-a	N-PL-DAT	15
halk	halkının	halk-ı-nın	N-PSS3S-GEN	612
halk	halklarımız	halk-lar-ımız	N-PL-PSS1P	2
halk	halklarda	halk-lar-da	N-PL-LOC	3
halk	halkınız	halk-ınız	N-PSS2P	1
halk	halkımızdan	halk-ımız-dan	N-PSS1P-ABL	13
halk	halkınıza	halk-ınız-a	N-PSS2P-DAT	1
halk	halka	halk-a	N-DAT	1028
halk	halkımızı	halk-ımız-ı	N-PSS1P-ACC	47
halk	halkımız	halk-ımız	N-PSS1P	140
halk	halklarımıza	halk-lar-ımız-a	N-PL-PSS1P-DAT	1
halk	halklardan	halk-lar-dan	N-PL-ABL	3
halı	halılar	halı-lar	N-PL	36
halı	halılara	halı-lar-a	N-PL-DAT	2
halı	halılardan	halı-lar-dan	N-PL-ABL	1
halı	halının	halı-nın	N-GEN	42
halı	halıya	halı-ya	N-DAT	11
halı	halıyı	halı-yı	N-ACC	19
halı	halıların	halı-lar-ın	N-PL-GEN	19
halı	halıları	halı-lar-ı	N-PL-PSS3S	27
halı	halıdan	halı-dan	N-ABL	7
halı	halılarda	halı-lar-da	N-PL-LOC	3
halı	halıda	halı-da	N-LOC	21
halı	halı	halı	N	486
hamak	hamaklar	hamak-lar	N-PL	1
hamak	hamaktan	hamak-tan	N-ABL	1
hamak	hamak	hamak	N	2
hamam	hamamlar	hamam-lar	N-PL	32
hamam	hamamlara	hamam-lar-a	N-PL-DAT	1
hamam	hamamlardan	hamam-lar-dan	N-PL-ABL	1
hamam	hamamın	hamam-ın	N-GEN	37
hamam	hamama	hamam-a	N-DAT	30
hamam	hamamı	hamam-ı	N-PSS3S	115
hamam	hamamların	hamam-lar-ın	N-PL-GEN	10
hamam	hamamları	hamam-lar-ı	N-PL-PSS3S	20
hamam	hamamdan	hamam-dan	N-ABL	15
hamam	hamamlarda	hamam-lar-da	N-PL-LOC	5
hamam	hamamda	hamam-da	N-LOC	17
hamam	hamam	hamam	N	208
